seed,episode,step,action1,action1_name,action2,action2_name,map,reward,result,button_pressed,pressed_by,agent1_beliefs,agent1_policies,agent2_beliefs,agent2_policies
0,1,1,1,DOWN,2,LEFT,1r.|...|.b2,0.0,neutral,,,agent_pos=0:1.0000;blue_button_pos=1:0.1250;blue_button_state=0:1.0000;red_button_pos=1:0.1250;red_button_state=0:1.0000,10:0.2052;22:0.2052;9:0.0572,agent_pos=8:1.0000;blue_button_pos=0:0.1250;blue_button_state=0:1.0000;red_button_pos=0:0.1250;red_button_state=0:1.0000,16:0.2052;4:0.2052;12:0.0572
0,1,2,3,RIGHT,0,UP,.r.|1..|.2.,0.0,neutral,,,agent_pos=3:0.9999;blue_button_pos=8:0.1427;blue_button_state=0:1.0000;red_button_pos=8:0.1427;red_button_state=0:1.0000,22:0.2256;10:0.2256;9:0.0571,agent_pos=7:1.0000;blue_button_pos=7:1.0000;blue_button_state=0:1.0000;red_button_pos=0:0.1427;red_button_state=0:1.0000,4:0.1304;16:0.1304;12:0.0588
0,1,3,3,RIGHT,0,UP,.r.|.1.|.2.,0.0,neutral,,,agent_pos=4:0.9999;blue_button_pos=8:0.1659;blue_button_state=0:1.0000;red_button_pos=8:0.1659;red_button_state=0:1.0000,22:0.1773;10:0.1773;4:0.1773,agent_pos=7:1.0000;blue_button_pos=7:1.0000;blue_button_state=0:1.0000;red_button_pos=0:0.1425;red_button_state=0:1.0000,4:0.1300;16:0.1300;12:0.0587
0,1,4,1,DOWN,0,UP,.r.|.21|.b.,0.0,neutral,,,agent_pos=5:0.9999;blue_button_pos=8:0.1980;blue_button_state=0:1.0000;red_button_pos=8:0.1980;red_button_state=0:1.0000,10:0.2711;4:0.2711;8:0.0497,agent_pos=4:1.0000;blue_button_pos=7:0.9912;blue_button_state=0:1.0000;red_button_pos=0:0.1657;red_button_state=0:1.0000,4:0.1038;16:0.1038;22:0.1038
0,1,5,2,LEFT,4,PRESS,.2.|...|.b1,0,neutral,red,2,agent_pos=8:0.9999;blue_button_pos=7:0.2454;blue_button_state=0:1.0000;red_button_pos=7:0.2454;red_button_state=0:1.0000,16:0.6304;14:0.0901;13:0.0900,agent_pos=1:1.0000;blue_button_pos=7:0.9838;blue_button_state=0:1.0000;red_button_pos=1:1.0000;red_button_state=0:1.0000,24:0.0634;4:0.0603;25:0.0560
0,1,6,2,LEFT,0,UP,.2.|...|.1.,0.0,neutral,,,agent_pos=7:1.0000;blue_button_pos=7:1.0000;blue_button_state=0:1.0000;red_button_pos=1:0.3226;red_button_state=0:0.5025,14:0.1049;13:0.1042;16:0.1025,agent_pos=1:1.0000;blue_button_pos=7:0.9752;blue_button_state=0:1.0000;red_button_pos=1:1.0000;red_button_state=1:1.0000,28:0.0377;4:0.0377;7:0.0370
0,1,7,3,RIGHT,1,DOWN,.2.|...|1b.,0.0,neutral,,,agent_pos=6:1.0000;blue_button_pos=7:0.9912;blue_button_state=0:1.0000;red_button_pos=1:0.4710;red_button_state=1:1.0000,22:0.3632;19:0.0280;18:0.0258,agent_pos=1:1.0000;blue_button_pos=7:0.9667;blue_button_state=0:1.0000;red_button_pos=1:1.0000;red_button_state=1:1.0000,7:0.0385;28:0.0371;4:0.0371
